exp,window,lstm_units,dense_units,lr,batch_size,dropout,epochs,best_val_rmse
E10,48,128,64,0.0005,128,0.2,12,80.967041015625
E13,48,128,64,0.0003,128,0.2,12,82.53382110595703
E15,96,64,32,0.0005,128,0.1,12,83.96965789794922
E16,48,64,64,0.0005,128,0.3,12,84.4889907836914
E3,24,64,32,0.001,256,0.1,10,84.74883270263672
E7,24,128,64,0.001,256,0.2,10,86.75727081298828
E9,24,64,32,0.001,128,0.1,10,86.84879302978516
E4,48,64,32,0.001,256,0.1,10,86.97154235839844
E5,24,64,64,0.001,256,0.1,10,87.02481079101562
E12,48,96,32,0.0005,256,0.1,12,89.9366683959961
E6,24,64,32,0.0005,256,0.1,12,91.22677612304688
E11,72,64,32,0.0005,256,0.1,12,97.01190185546875
E1,12,32,16,0.001,256,0.0,8,106.46253204345703
E14,24,64,32,0.0003,256,0.2,12,106.97266387939453
E2,24,32,16,0.001,256,0.0,8,112.8392562866211
E8,24,64,32,0.0001,256,0.1,12,139.97018432617188
